Índices,Ano,Unidade Judiciária,Distribuídos,Julgados,Resultado
1,2023,1ª VT de Fortaleza,1093,1097,"100,4%"
2,2023,2ª VT de Fortaleza,1155,1182,"102,3%"
3,2023,3ª VT de Fortaleza,1146,1067,"93,1%"
4,2023,4ª VT de Fortaleza,1076,1128,"104,8%"
5,2023,5ª VT de Fortaleza,1182,1444,"122,2%"
6,2023,6ª VT de Fortaleza,1161,1198,"103,2%"
7,2023,7ª VT de Fortaleza,1174,1195,"101,8%"
8,2023,8ª VT de Fortaleza,1159,1207,"104,1%"
9,2023,9ª VT de Fortaleza,1157,1187,"102,6%"
10,2023,10ª VT de Fortaleza,1167,1170,"100,3%"
11,2023,11ª VT de Fortaleza,1148,1176,"102,4%"
12,2023,12ª VT de Fortaleza,1133,1073,"94,7%"
13,2023,13ª VT de Fortaleza,1143,1140,"99,7%"
14,2023,14ª VT de Fortaleza,1137,1161,"102,1%"
15,2023,15ª VT de Fortaleza,1175,1202,"102,3%"
16,2023,16ª VT de Fortaleza,1184,1281,"108,2%"
17,2023,17ª VT de Fortaleza,1174,1271,"108,3%"
18,2023,18ª VT de Fortaleza,1134,1066,"94,0%"
19,2023,1ª VT de Aracati,743,730,"98,3%"
20,2023,1ª VT de Baturité,303,279,"92,1%"
21,2023,1ª VT de Caucaia,834,893,"107,1%"
22,2023,1ª VT de Crateus,2033,1222,"60,1%"
23,2023,1ª VT de Eusébio,1775,1690,"95,2%"
24,2023,1ª VT de Iguatu,2260,2223,"98,4%"
25,2023,1ª VT da Região do Cariri,1728,1422,"82,3%"
26,2023,1ª VT de Limoeiro do Norte,967,894,"92,5%"
27,2023,1ª VT de Maracanau,1440,1342,"93,2%"
28,2023,1ª VT de Pacajus,1277,1132,"88,6%"
29,2023,1ª VT de Quixadá,710,751,"105,8%"
30,2023,1ª VT de São Gonçalo do Amarante,2076,2152,"103,7%"
31,2023,1ª VT de Sobral,1753,1944,"110,9%"
32,2023,1ª VT de Tianguá,1732,1872,"108,1%"
33,2023,2ª VT de Caucaia,775,695,"89,7%"
34,2023,2ª VT da Região do Cariri,1704,1527,"89,6%"
35,2023,2ª VT de Maracanau,1445,1359,"94,0%"
36,2023,2ª VT de Sobral,1848,1857,"100,5%"
37,2023,3ª VT da Região do Cariri,1687,1507,"89,3%"
38,2023,Total do 1º Grau,47.788,46.736,"97,8%"
39,2023,Total da 7ª Região,67.163,64.211,"95,6%"
1,2024,1ª VT de Fortaleza,1005,1281,"127,5%"
2,2024,2ª VT de Fortaleza,1326,1330,"100,3%"
3,2024,3ª VT de Fortaleza,1304,1555,"119,2%"
4,2024,4ª VT de Fortaleza,1335,1232,"92,3%"
5,2024,5ª VT de Fortaleza,1410,1469,"104,2%"
6,2024,6ª VT de Fortaleza,1389,1663,"119,7%"
7,2024,7ª VT de Fortaleza,1347,1186,"88,0%"
8,2024,8ª VT de Fortaleza,1309,1323,"101,1%"
9,2024,9ª VT de Fortaleza,1324,1284,"97,0%"
10,2024,10ª VT de Fortaleza,1357,1358,"100,1%"
11,2024,11ª VT de Fortaleza,1297,1254,"96,7%"
12,2024,12ª VT de Fortaleza,1289,1156,"89,7%"
13,2024,13ª VT de Fortaleza,1354,1270,"93,8%"
14,2024,14ª VT de Fortaleza,1350,1407,"104,2%"
15,2024,15ª VT de Fortaleza,1358,1355,"99,8%"
16,2024,16ª VT de Fortaleza,1306,1121,"85,8%"
17,2024,17ª VT de Fortaleza,1346,1136,"84,4%"
18,2024,18ª VT de Fortaleza,1302,1277,"98,1%"
19,2024,1ª VT de Aracati,671,693,"103,3%"
20,2024,1ª VT de Baturité,283,231,"81,6%"
21,2024,1ª VT de Caucaia,1125,1140,"101,3%"
22,2024,1ª VT de Crateus,2614,2404,"92,0%"
23,2024,1ª VT de Eusébio,1852,1822,"98,4%"
24,2024,1ª VT de Iguatu,1931,1687,"87,4%"
25,2024,1ª VT da Região do Cariri,1519,1602,"105,5%"
26,2024,1ª VT de Limoeiro do Norte,1021,898,"88,0%"
27,2024,1ª VT de Maracanau,1620,1491,"92,0%"
28,2024,1ª VT de Pacajus,1380,1376,"99,7%"
29,2024,1ª VT de Quixadá,1039,913,"87,9%"
30,2024,1ª VT de São Gonçalo do Amarante,2234,2290,"102,5%"
31,2024,1ª VT de Sobral,1986,1748,"88,0%"
32,2024,1ª VT de Tianguá,1793,1604,"89,5%"
33,2024,2ª VT de Caucaia,1166,1174,"100,7%"
34,2024,2ª VT da Região do Cariri,1433,1534,"107,0%"
35,2024,2ª VT de Maracanau,1528,1509,"98,8%"
36,2024,2ª VT de Sobral,1684,1733,"102,9%"
37,2024,3ª VT da Região do Cariri,1539,1652,"107,3%"
38,2024,Total do 1º Grau,52.126,51.158,"98,1%"
39,2024,Total da 7ª Região,78.393,76.775,"97,9%"
