Índices,Unidade Judiciária,Ano,Resultado
1,1ª VT de Fortaleza,2024,"102,04%"
2,2ª VT de Fortaleza,2024,"51,02%"
3,3ª VT de Fortaleza,2024,"102,04%"
4,4ª VT de Fortaleza,2024,"80,17%"
5,5ª VT de Fortaleza,2024,"102,04%"
6,6ª VT de Fortaleza,2024,"102,04%"
7,7ª VT de Fortaleza,2024,"76,53%"
8,8ª VT de Fortaleza,2024,"102,04%"
9,9ª VT de Fortaleza,2024,"74,57%"
10,10ª VT de Fortaleza,2024,"102,04%"
11,11ª VT de Fortaleza,2024,"102,04%"
12,12ª VT de Fortaleza,2024,"102,04%"
13,13ª VT de Fortaleza,2024,"102,04%"
14,14ª VT de Fortaleza,2024,"102,04%"
15,15ª VT de Fortaleza,2024,"102,04%"
16,16ª VT de Fortaleza,2024,"102,04%"
17,17ª VT de Fortaleza,2024,"61,22%"
18,18ª VT de Fortaleza,2024,"102,04%"
19,1ª VT de Aracati,2024,"102,04%"
20,1ª VT de Baturité,2024,"102,04%"
21,1ª VT de Caucaia,2024,"102,04%"
22,1ª VT de Crateus,2024,"102,04%"
23,1ª VT de Eusébio,2024,"102,04%"
24,1ª VT de Iguatu,2024,"102,04%"
25,1ª VT da Região do Cariri,2024,"102,04%"
26,1ª VT de Limoeiro do Norte,2024,"102,04%"
27,1ª VT de Maracanau,2024,"102,04%"
28,1ª VT de Pacajus,2024,"102,04%"
29,1ª VT de Quixadá,2024,"71,43%"
30,1ª VT de São Gonçalo do Amarante,2024,"102,04%"
31,1ª VT de Sobral,2024,"102,04%"
32,1ª VT de Tianguá,2024,"102,04%"
33,2ª VT de Caucaia,2024,"102,04%"
34,2ª VT da Região do Cariri,2024,"102,04%"
35,2ª VT de Maracanau,2024,"102,04%"
36,2ª VT de Sobral,2024,"102,04%"
37,3ª VT da Região do Cariri,2024,"102,04%"
38,Total do 1º Grau,2024,"86,40%"
39,Total da 7ª Região,2024,"90,86%"
