Índices,Unidade Judiciária,Ano,Conciliados,Solucionados,Índice de conciliação iConc,Resultado iConc em relação à meta,Média do biênio,Média do biênio comentário
1,1ª VT de Fortaleza,2023,390,1021,"38,20%","81,93%","46,62%","46,62% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
2,2ª VT de Fortaleza,2023,605,1039,"58,23%","106,04%","54,91%","54,91% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
3,3ª VT de Fortaleza,2023,460,970,"47,42%","98,92%","47,94%","47,94% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
4,4ª VT de Fortaleza,2023,399,970,"41,13%","87,38%","47,07%","47,07% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
5,5ª VT de Fortaleza,2023,511,1239,"41,24%","103,13%","39,99%","39,99% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
6,6ª VT de Fortaleza,2023,408,1094,"37,29%","78,01%","47,81%","47,81% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
7,7ª VT de Fortaleza,2023,479,1083,"44,23%","100,87%","43,85%","43,85% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
8,8ª VT de Fortaleza,2023,583,1087,"53,63%","106,99%","50,13%","50,13% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
9,9ª VT de Fortaleza,2023,432,1037,"41,66%","103,64%","40,19%","40,19% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
10,10ª VT de Fortaleza,2023,371,994,"37,32%","90,14%","41,41%","41,41% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
11,11ª VT de Fortaleza,2023,383,1059,"36,17%","75,99%","47,59%","47,59% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
12,12ª VT de Fortaleza,2023,493,934,"52,78%","103,32%","51,09%","51,09% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
13,13ª VT de Fortaleza,2023,447,987,"45,29%","95,11%","47,62%","47,62% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
14,14ª VT de Fortaleza,2023,388,1063,"36,50%","98,45%","37,07%","37,07% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
15,15ª VT de Fortaleza,2023,485,1003,"48,35%","99,76%","48,47%","48,47% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
16,16ª VT de Fortaleza,2023,439,1142,"38,44%","79,92%","48,10%","48,10% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
17,17ª VT de Fortaleza,2023,518,1064,"48,68%","99,93%","48,72%","48,72% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
18,18ª VT de Fortaleza,2023,418,1007,"41,51%","107,28%","38,69%","38,69% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
19,1ª VT de Aracati,2023,358,694,"51,59%","92,12%","56,00%","56,00% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
20,1ª VT de Baturité,2023,169,253,"66,80%","128,67%","51,92%","51,92% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
21,1ª VT de Caucaia,2023,368,797,"46,17%","93,11%","49,59%","49,59% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
22,1ª VT de Crateus,2023,388,1098,"35,34%","110,87%","31,87%","31,87% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
23,1ª VT de Eusébio,2023,900,1518,"59,29%","125,44%","47,26%","47,26% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
24,1ª VT de Iguatu,2023,580,2065,"28,09%","96,18%","29,20%","29,20% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
25,1ª VT da Região do Cariri,2023,349,1303,"26,78%","125,71%","21,31%","21,31% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
26,1ª VT de Limoeiro do Norte,2023,298,745,"40,00%","113,46%","35,26%","35,26% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
27,1ª VT de Maracanau,2023,564,1164,"48,45%","123,26%","39,31%","39,31% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
28,1ª VT de Pacajus,2023,461,943,"48,89%","107,11%","45,64%","45,64% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
29,1ª VT de Quixadá,2023,327,680,"48,09%","104,28%","46,11%","46,11% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
30,1ª VT de São Gonçalo do Amarante,2023,919,1842,"49,89%","88,28%","56,52%","56,52% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
31,1ª VT de Sobral,2023,425,1770,"24,01%","55,84%","43,00%","43,00% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
32,1ª VT de Tianguá,2023,620,1779,"34,85%","74,33%","46,88%","46,88% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
33,2ª VT de Caucaia,2023,313,591,"52,96%","98,66%","53,68%","53,68% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
34,2ª VT da Região do Cariri,2023,454,1407,"32,27%","120,83%","26,71%","26,71% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
35,2ª VT de Maracanau,2023,524,1240,"42,26%","118,80%","35,57%","35,57% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
36,2ª VT de Sobral,2023,458,1694,"27,04%","65,09%","41,54%","41,54% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
37,3ª VT da Região do Cariri,2023,373,1334,"27,96%","79,00%","35,40%","35,40% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
38,Total do 1º Grau,2023,17.057,41.710,"40,89%","94,32%","43,36%","43,36% (Cláusula de barreira 40% - caso seja atingido esse percentual a meta será considerada cumprida)"
1,1ª VT de Fortaleza,2024,506,1163,"43,51%","99,87%","43,57%","43,57% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
2,2ª VT de Fortaleza,2024,631,1170,"53,93%","101,70%","53,03%","53,03% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
3,3ª VT de Fortaleza,2024,615,1322,"46,52%","91,17%","51,03%","51,03% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
4,4ª VT de Fortaleza,2024,469,1061,"44,20%","90,06%","49,08%","49,08% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
5,5ª VT de Fortaleza,2024,505,1165,"43,35%","99,83%","43,42%","43,42% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
6,6ª VT de Fortaleza,2024,569,1505,"37,81%","80,03%","47,24%","47,24% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
7,7ª VT de Fortaleza,2024,457,1047,"43,65%","88,90%","49,10%","49,10% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
8,8ª VT de Fortaleza,2024,588,1192,"49,33%","98,12%","50,27%","50,27% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
9,9ª VT de Fortaleza,2024,483,1113,"43,40%","99,33%","43,69%","43,69% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
10,10ª VT de Fortaleza,2024,435,1206,"36,07%","93,54%","38,56%","38,56% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
11,11ª VT de Fortaleza,2024,381,1078,"35,34%","86,59%","40,82%","40,82% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
12,12ª VT de Fortaleza,2024,473,1009,"46,88%","96,99%","48,33%","48,33% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
13,13ª VT de Fortaleza,2024,497,1082,"45,93%","96,67%","47,52%","47,52% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
14,14ª VT de Fortaleza,2024,537,1204,"44,60%","108,77%","41,00%","41,00% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
15,15ª VT de Fortaleza,2024,546,1176,"46,43%","104,57%","44,40%","44,40% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
16,16ª VT de Fortaleza,2024,456,987,"46,20%","103,72%","44,54%","44,54% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
17,17ª VT de Fortaleza,2024,442,969,"45,61%","95,78%","47,63%","47,63% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
18,18ª VT de Fortaleza,2024,487,1171,"41,59%","106,75%","38,96%","38,96% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
19,1ª VT de Aracati,2024,431,661,"65,20%","136,89%","47,63%","47,63% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
20,1ª VT de Baturité,2024,117,200,"58,50%","104,80%","55,82%","55,82% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
21,1ª VT de Caucaia,2024,353,1034,"34,14%","90,58%","37,69%","37,69% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
22,1ª VT de Crateus,2024,671,2247,"29,86%","68,95%","43,31%","43,31% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
23,1ª VT de Eusébio,2024,822,1539,"53,41%","113,25%","47,16%","47,16% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
24,1ª VT de Iguatu,2024,559,1491,"37,49%","122,27%","30,66%","30,66% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
25,1ª VT da Região do Cariri,2024,456,1480,"30,81%","141,85%","21,72%","21,72% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
26,1ª VT de Limoeiro do Norte,2024,351,759,"46,25%","138,99%","33,27%","33,27% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
27,1ª VT de Maracanau,2024,453,1287,"35,20%","77,19%","45,60%","45,60% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
28,1ª VT de Pacajus,2024,483,1187,"40,69%","92,81%","43,84%","43,84% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
29,1ª VT de Quixadá,2024,315,827,"38,09%","82,04%","46,43%","46,43% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
30,1ª VT de São Gonçalo do Amarante,2024,635,1995,"31,83%","60,80%","52,35%","52,35% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
31,1ª VT de Sobral,2024,661,1545,"42,78%","111,82%","38,26%","38,26% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
32,1ª VT de Tianguá,2024,796,1486,"53,57%","97,74%","54,80%","54,80% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
33,2ª VT de Caucaia,2024,457,1007,"45,38%","93,57%","48,50%","48,50% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
34,2ª VT da Região do Cariri,2024,408,1395,"29,25%","125,39%","23,33%","23,33% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
35,2ª VT de Maracanau,2024,586,1362,"43,02%","97,71%","44,04%","44,04% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
36,2ª VT de Sobral,2024,656,1561,"42,02%","99,34%","42,30%","42,30% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
37,3ª VT da Região do Cariri,2024,483,1532,"31,53%","119,63%","26,35%","26,35% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
38,Total do 1º Grau,2024,18.770,45.215,"41,51%","96,82%","42,88%","42,88% (Cláusula de barreira 38% - caso seja atingido esse percentual a meta será considerada cumprida)"
